flight_number,launch_year,latitude,longitude,payload_mass_kg,landing_success,landing_type,reused,number_of_cores,number_of_payloads,rocket_name_Falcon Heavy,launch_site_KSC LC 39A,launch_site_VAFB SLC 4E,orbit_GEO,orbit_GTO,orbit_HCO,orbit_HEO,orbit_ISS,orbit_LEO,orbit_MEO,"orbit_MEO,LEO",orbit_PO,orbit_SSO,orbit_TLI,orbit_VLEO,"orbit_VLEO,LEO","orbit_VLEO,SSO"
72,2018,28.5618571,-80.577366,2573.0,0,RTLS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
74,2019,34.632093,-120.610829,9600.0,1,ASDS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
75,2019,28.5618571,-80.577366,5645.0,1,ASDS,1,1,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
76,2019,28.6080585,-80.6039558,12259.0,1,ASDS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
77,2019,28.6080585,-80.6039558,6000.0,1,ASDS,0,3,1,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
78,2019,28.5618571,-80.577366,2482.0,1,ASDS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
79,2019,28.5618571,-80.577366,13200.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
80,2019,34.632093,-120.610829,1425.0,1,RTLS,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
81,2019,28.6080585,-80.6039558,2838.0,0,ASDS,0,3,16,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
82,2019,28.5618571,-80.577366,2227.7,1,RTLS,1,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
84,2019,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
85,2019,28.5618571,-80.577366,5000.0,1,ASDS,0,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
86,2019,28.5618571,-80.577366,6800.0,1,ASDS,1,1,1,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
87,2020,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
89,2020,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
90,2020,28.5618571,-80.577366,15600.0,0,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
91,2020,28.5618571,-80.577366,1977.0,1,RTLS,1,1,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
92,2020,28.6080585,-80.6039558,15600.0,0,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
93,2020,28.6080585,-80.6039558,15600.0,1,ASDS,1,1,1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
94,2020,28.6080585,-80.6039558,9525.0,1,ASDS,0,1,1,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
95,2020,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
96,2020,28.5618571,-80.577366,15600.0,1,ASDS,1,1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
97,2020,28.5618571,-80.577366,3880.0,1,ASDS,0,1,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
98,2020,28.5618571,-80.577366,0.0,1,ASDS,1,1,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
99,2020,28.6080585,-80.6039558,15712.0,1,ASDS,1,1,2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
